SKU,Name,Image,colour1,percent1,colour2,percent2,colour3,percent3
000772118965,"Woodland Princess Wooden Jigsaw Puzzle - 24 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772118965.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,45.0
000772120548,"Melissa & Doug Barnyard Animals Large Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772120548.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,35.0,BROWN,25.0,PINK,10.0
000772120555,"Melissa & Doug House Pets Large Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772120555.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,32.0,ORANGE,15.0,GREY/WHITE,14.0
000772120906,"Memory Game by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772120906.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,35.0,GREY/WHITE,25.0,PINK,11.0
000772121026,"Lion - Plush","https://dynamic.indigoimages.ca/gifts/000772121026.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,80.0
882709277446,"Monogram Espresso Cup  D by Indigo","https://dynamic.indigoimages.ca/gifts/882709277446.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0,PINK,24.0,BLUE,5.0
882709277477,"Monogram Espresso Cup  B by Indigo","https://dynamic.indigoimages.ca/gifts/882709277477.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0,PINK,22.0,BROWN,5.0
882709277514,"Monogram Espresso Cup  G by Indigo","https://dynamic.indigoimages.ca/gifts/882709277514.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,72.0
000772121033,"Tiger Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121033.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,52.0,GREY/WHITE,23.0,ORANGE,10.0
000772121057,"Melissa & Doug Horse Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121057.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,63.0,GREY/WHITE,23.0,BLACK,11.0
000772121064,"Giant Giraffe Plush","https://dynamic.indigoimages.ca/gifts/000772121064.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,48.0,GREY/WHITE,31.0
000772121101,"Melissa & Doug Dalmatian Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121101.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,84.0
000772121170,"Melissa & Doug Black Lab Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121170.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,62.0,BLACK,33.0
000772121217,"Melissa & Doug Dragon Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121217.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREEN,33.0,BROWN,17.0,GREY/WHITE,12.0
000772121224,"Penguin Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121224.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,40.0,BLACK,33.0
000772121279,"Melissa & Doug Sea Turtle Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121279.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0
000772121385,"Jumbo Brown Teddy bear - Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121385.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,70.0
000772121491,"Melissa & Doug T-Rex Plush","https://dynamic.indigoimages.ca/gifts/000772121491.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,47.0,GREEN,21.0,GREY/WHITE,17.0
000772121842,"Melissa & Doug Zebra Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121842.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,53.0,BLACK,31.0
000772121859,"Elephant - Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121859.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,65.0
000772121910,"Monster Bowling by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121910.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,24.0,YELLOW,16.0,ORANGE,13.0
882709277545,"Monogram Espresso Cup  W by Indigo","https://dynamic.indigoimages.ca/gifts/882709277545.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,68.0,PINK,21.0,BLACK,7.0
882709277576,"Monogram Espresso Cup  Z  by Indigo","https://dynamic.indigoimages.ca/gifts/882709277576.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,69.0,PINK,21.0,BROWN,4.0
882709277613,"Monogram Espresso Cup  U by Indigo","https://dynamic.indigoimages.ca/gifts/882709277613.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,69.0,PINK,24.0
000772121934,"SCATCH & SNIFF FRUITVILLE STICKER PAD by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121934.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,27.0,GREEN,19.0,GREY/WHITE,18.0
000772123716,"Multi Activity Table by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772123716.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,43.0,BROWN,21.0,GREEN,17.0
000772124072,"Happy Handle Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124072.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,23.0,PURPLE,19.0,BROWN,16.0
000772124096,"Vehicles Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124096.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,30.0,BROWN,29.0,PINK,19.0
000772124102,"Horses Stamp Set","https://dynamic.indigoimages.ca/gifts/000772124102.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,34.0,BROWN,27.0,PINK,13.0
000772124157,"Butterfly and Hearts Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124157.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,43.0
000772124188,"Wooden Princess Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124188.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,26.0,ORANGE,21.0,PINK,18.0
000772124249,"Stamp-A-Scene fairy Garden by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124249.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,44.0
000772124355,"Nesting & Sorting Garages & Cars","https://dynamic.indigoimages.ca/gifts/000772124355.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,21.0,GREY/WHITE,19.0,BLUE,16.0
000772125055,"Doorbell House by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125055.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0
000772125307,"Deluxe Puppet Theatre by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125307.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,27.0,BLACK,18.0,GREY/WHITE,13.0
000772125413,"Self- Correcting Alphabet Letter Puzzles by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125413.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,36.0,PINK,28.0,ORANGE,11.0
882709291343,"Zebra Foldover Pouch by Indigo","https://dynamic.indigoimages.ca/gifts/882709291343.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLACK,50.0,PINK,28.0,GREY/WHITE,13.0
882709293231,"Flock of Birds Ivory Infinity Loop Scarf - Ivory by Indigo","https://dynamic.indigoimages.ca/gifts/882709293231.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,69.0,PINK,22.0,BLACK,5.0
882709298830,"Copper Bowl by Indigo","https://dynamic.indigoimages.ca/gifts/882709298830.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,73.0
882709299608,"Slate Coasters  Square  by Indigo","https://dynamic.indigoimages.ca/gifts/882709299608.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0
000772125420,"Self-Correcting Number Puzzles by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125420.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,33.0,PINK,30.0,BROWN,12.0
000772125536,"Chef Puppet by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125536.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0
000772125642,"Latches Barn by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125642.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,37.0,BROWN,25.0,PINK,15.0
000772126083,"Wooden Sushi Slicing Playset by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772126083.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,26.0,BROWN,17.0,GREY/WHITE,15.0
000772126106,"Wooden Kitchen Accessory Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772126106.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,38.0
000772127585,"Big Rig Building Truck Wooden Play Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127585.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,36.0,PINK,21.0,RED,11.0
000772127592,"Mega Race Car Carrier by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127592.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,26.0,PINK,18.0,BROWN,17.0
000772127820,"Alphabet Nesting & Stacking Blocks by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127820.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,27.0,GREEN,15.0,BROWN,14.0
000772127844,"Deluxe Jumbo Cardboard Blocks (40 pc) by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127844.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,36.0
000772127905,"Melissa & Doug Wooden Double-Sided Tabletop Easel by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127905.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,44.0,GREY/WHITE,32.0
000772128735,"Melissa & Doug Safari Floor Puzzle 100 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772128735.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,40.0,BROWN,24.0,BLUE,13.0
